Date,SPY,IWM
7/17/2003,79.08,39.51
7/18/2003,79.89,39.78
7/21/2003,78.9,39.44
7/22/2003,79.62,39.9
7/23/2003,79.67,40.17
7/24/2003,79.07,40.09
7/25/2003,80.47,40.38
7/28/2003,80.17,40.88
7/29/2003,79.8,40.9
7/30/2003,79.61,40.75
7/31/2003,79.8,40.83
8/1/2003,79.09,40.25
8/4/2003,79.09,39.85
8/5/2003,77.41,39.16
8/6/2003,77.86,38.98
8/7/2003,78.68,39.11
8/8/2003,78.9,39.03
8/11/2003,79.2,39.56
8/12/2003,79.92,40.23
8/13/2003,79.51,40.36
8/14/2003,79.73,40.63
8/15/2003,79.98,40.64
8/18/2003,80.67,41.44
8/19/2003,80.98,42.22
8/20/2003,80.65,42.2
8/21/2003,80.9,42.54
8/22/2003,80.1,41.79
8/25/2003,80.23,41.76
8/26/2003,80.37,41.91
8/27/2003,80.4,42.32
8/28/2003,80.9,42.6
8/29/2003,81.44,42.78
9/2/2003,82.53,43.77
9/3/2003,82.98,43.95
9/4/2003,83.02,44.14
9/5/2003,82.56,43.86
9/8/2003,83.24,44.46
9/9/2003,82.69,44.14
9/10/2003,81.86,43.26
9/11/2003,82.1,43.64
9/12/2003,82.25,43.83
9/15/2003,81.96,43.72
9/16/2003,83.16,44.38
9/17/2003,83,44.36
9/18/2003,83.98,44.83
9/19/2003,83.55,44.78
9/22/2003,82.65,44.17
9/23/2003,82.96,44.77
9/24/2003,81.49,43.66
9/25/2003,80.82,42.48
9/26/2003,80.55,41.75
9/29/2003,81.34,42.5
9/30/2003,80.55,41.95
10/1/2003,82.27,43.08
10/2/2003,82.57,43.5
10/3/2003,83.33,44.18
10/6/2003,83.7,44.56
10/7/2003,84.03,44.81
10/8/2003,83.82,44.46
10/9/2003,84.04,44.93
10/10/2003,84.28,44.87
10/13/2003,84.54,45.58
10/14/2003,84.84,45.88
10/15/2003,84.61,45.3
10/16/2003,84.95,45.71
10/17/2003,84.03,44.82
10/20/2003,84.66,45.05
10/21/2003,84.51,45.25
10/22/2003,83.45,44.26
10/23/2003,83.29,43.87
10/24/2003,83.48,43.76
10/27/2003,83.52,44.4
10/28/2003,84.66,45.47
10/29/2003,84.77,45.77
10/30/2003,84.95,45.9
10/31/2003,84.86,45.6
11/3/2003,85.42,46.37
11/4/2003,85.24,46.44
11/5/2003,85.3,46.67
11/6/2003,85.75,47.04
11/7/2003,85.11,46.68
11/10/2003,84.77,45.93
11/11/2003,84.74,45.61
11/12/2003,85.69,46.66
11/13/2003,85.72,46.79
11/14/2003,84.99,45.9
